item_basico,nome_produto,preco,preco_original,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto
feijao,FEIJÃO DE CORDA FIBRA TIPO 1 1KG,6.58,6.58,False,355,13759,7898384200016,36,feijao-de-corda-tipo-1-fibra-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-de-corda-tipo-1-fibra-pacote-1kg
feijao,FEIJÃO CARIOCA FIBRA 1KG,8.94,8.94,False,355,13759,7898384200023,47,feijao-carioca-tipo-1-fibra-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-tipo-1-fibra-pacote-1kg
feijao,FEIJÃO CARIOCA KICALDO 1KG,9.88,9.88,False,355,13759,7896116900029,89,feijao-carioca-kicaldo-1kg-4108,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-kicaldo-1kg-4108
feijao,FEIJÃO BRANCO FIBRA 1KG,7.25,7.25,False,355,13759,7898384200122,18,feijao-branco-tipo-1-fibra-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-branco-tipo-1-fibra-pacote-1kg
feijao,FEIJÃO PRETO KICALDO 1KG,7.78,7.78,False,355,13759,7896116900050,40,feijao-preto-kicaldo-1kg-4707,https://mercadinhossaoluiz.com.br/produto/feijao-preto-kicaldo-1kg-4707
feijao,FEIJÃO DE CORDA KICALDO 1KG,7.11,7.11,False,355,13759,7896116901347,34,feijao-de-corda-kicaldo-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-de-corda-kicaldo-pacote-1kg
feijao,FEIJÃO FRADINHO KICALDO 1KG,6.83,6.83,False,355,13759,7896116901385,15,feijao-fradinho-kicaldo-1kg-4473,https://mercadinhossaoluiz.com.br/produto/feijao-fradinho-kicaldo-1kg-4473
feijao,FEIJÃO RAJADO KICALDO 1KG,15.78,15.78,False,355,13759,7896116900425,8,feijao-rajado-kicaldo-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-rajado-kicaldo-1kg
feijao,FEIJÃO CARIOCA DONA DÊ 1KG,8.94,8.94,False,355,13759,7898922012019,45,feijao-carioca-dona-de-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-dona-de-pacote-1kg
feijao,FEIJAO MULATINHO COMBRASIL 500G,10.42,10.42,False,355,13759,7896101062572,19,feijao-mulatinho-combrasil-500g,https://mercadinhossaoluiz.com.br/produto/feijao-mulatinho-combrasil-500g
feijao,FEIJÃO BRANCO KICALDO 1KG,17.78,17.78,False,355,13759,7896116900807,9,feijao-branco-kicaldo-1kg-111494,https://mercadinhossaoluiz.com.br/produto/feijao-branco-kicaldo-1kg-111494
feijao,FEIJÃO VERMELHO KICALDO 1KG,16.83,16.83,False,355,13759,7896116900845,9,feijao-vermelho-kicaldo-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-vermelho-kicaldo-1kg
feijao,FEIJAO VERMELHO COMBRASIL TIPO 1 500G,8.32,8.32,False,355,13759,7896101062596,7,feijao-vermelho-combrasil-tipo-1-500g,https://mercadinhossaoluiz.com.br/produto/feijao-vermelho-combrasil-tipo-1-500g
feijao,FEIJÃO VERDE FAZENDA GRANGEIRO 500G,13.67,13.67,False,355,13759,7898994973300,51,feijao-verde-fazenda-grangeiro-500g,https://mercadinhossaoluiz.com.br/produto/feijao-verde-fazenda-grangeiro-500g
feijao,FEIJÃO CARIOCA T1 COMBRASIL PACOTE 1KG,14.63,14.63,False,355,13759,7896101062022,8,feijao-carioca-t1-combrasil-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-t1-combrasil-pacote-1kg
feijao,BROTO DE FEIJÃO HORTIFAMILIA 100G,22.83,22.83,False,355,13759,74468148222,2,,https://mercadinhossaoluiz.com.br/produto/None
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 100ML,8.41,8.41,False,355,13760,7896094910904,14,adocante-liquido-com-sacarina-zero-cal-100ml,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-com-sacarina-zero-cal-100ml
acucar,AÇÚCAR CRISTAL OLHO D`AGUA 1KG,3.67,3.67,False,355,13760,7898994678014,319,acucar-cristal-olho-dagua-1kg-93921,https://mercadinhossaoluiz.com.br/produto/acucar-cristal-olho-dagua-1kg-93921
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 200ML,13.67,13.67,False,355,13760,7896094910959,5,adocante-zero-cal-200ml,https://mercadinhossaoluiz.com.br/produto/adocante-zero-cal-200ml
acucar,AÇÚCAR REFINADO UNIÃO 1KG,5.99,5.99,False,355,13760,7891910000197,7,acucar-refinado-uniao-1kg-1540,https://mercadinhossaoluiz.com.br/produto/acucar-refinado-uniao-1kg-1540
acucar,AÇÚCAR UNIÃO GLAÇÚCAR 500G,4.89,4.89,False,355,13760,7891910007110,12,acucar-glacucar-uniao-500g,https://mercadinhossaoluiz.com.br/produto/acucar-glacucar-uniao-500g
acucar,AÇÚCAR DEMERARA UNIÃO 1KG,6.2,6.2,False,355,13760,7891910030101,51,acucar-demerara-uniao-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/acucar-demerara-uniao-pacote-1kg
acucar,ADOÇANTE LÍQUIDO LINEA 75ML,19.25,19.25,False,355,13760,7896001250628,9,adocante-liquido-linea-75ml,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-linea-75ml
acucar,ADOÇANTE MAGRO C/ STÉVIA 80ML,9.46,9.46,False,355,13760,7896292010000,8,adocante-magro-com-stevia-80ml,https://mercadinhossaoluiz.com.br/produto/adocante-magro-com-stevia-80ml
acucar,ADOÇANTE SVILI STÉVIA EXTRA 90ML,10.62,10.62,False,355,13760,7897670700452,17,adocante-stevia-svili-excellent-90ml,https://mercadinhossaoluiz.com.br/produto/adocante-stevia-svili-excellent-90ml
acucar,ADOÇANTE EM PÓ LINEA STÉVIA 30G,17.0,17.0,False,355,13760,7896001210110,3,adocante-em-po-stevia-linea-30g,https://mercadinhossaoluiz.com.br/produto/adocante-em-po-stevia-linea-30g
acucar,ADOÇANTE LÍQUIDO LINEA STÉVIA 60ML,17.84,17.84,False,355,13760,7896001210103,4,adocante-linea-stevia-60ml,https://mercadinhossaoluiz.com.br/produto/adocante-linea-stevia-60ml
acucar,AÇÚCAR CRISTAL UNIÃO ORGÂNICO 1KG,8.79,8.79,False,355,13760,7891910020034,6,acucar-cristal-uniao-organico-1kg,https://mercadinhossaoluiz.com.br/produto/acucar-cristal-uniao-organico-1kg
