item_basico,nome_produto,preco,preco_original,desconto_percentual,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto,categoria_busca,fonte
oleo,TEMPERO SABOR AMI COM PIMENTA 300G,6.47,6.47,0.0,False,355,13799,7891132019045,10,sabor-a-mi-c-p-24-pote-x-300-gr,https://mercadinhossaoluiz.com.br/produto/sabor-a-mi-c-p-24-pote-x-300-gr,oleo,Mercadinho São Luiz
oleo,REALÇADOR DE SABOR AJI-NO-MOTO REFIL 100G,8.52,8.52,0.0,False,355,13799,7891132012015,3,aji-no-moto-36-refil-x-100-gr,https://mercadinhossaoluiz.com.br/produto/aji-no-moto-36-refil-x-100-gr,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN MASSAS 60G,6.37,6.37,0.0,False,355,13799,7891132019717,10,tempero-sazon-massas-flopy-60g,https://mercadinhossaoluiz.com.br/produto/tempero-sazon-massas-flopy-60g,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN FEIJÃO 60G,6.37,6.37,0.0,False,355,13799,7891132019724,15,sazon-marrom-48x12x5g,https://mercadinhossaoluiz.com.br/produto/sazon-marrom-48x12x5g,oleo,Mercadinho São Luiz
oleo,REALÇADOR DE SABOR AJI-SAL 100G,8.89,8.89,0.0,False,355,13799,7891132082018,2,aji-sal-36-frasco-x-100-gr,https://mercadinhossaoluiz.com.br/produto/aji-sal-36-frasco-x-100-gr,oleo,Mercadinho São Luiz
oleo,TEMPERO GRILL MAGGI 120G,12.41,12.41,0.0,False,355,13799,7891000502204,7,tempero-gril-maggi-120g,https://mercadinhossaoluiz.com.br/produto/tempero-gril-maggi-120g,oleo,Mercadinho São Luiz
oleo,TEMPERO FONDOR MAGGI 120G,12.41,12.41,0.0,False,355,13799,7891000502105,4,tempero-fondor-maggi-120g,https://mercadinhossaoluiz.com.br/produto/tempero-fondor-maggi-120g,oleo,Mercadinho São Luiz
oleo,MOLHO INGLÊS MINHOTO 150ML,9.42,9.42,0.0,False,355,13799,7896013101697,7,molho-ingles-minhoto-150ml,https://mercadinhossaoluiz.com.br/produto/molho-ingles-minhoto-150ml,oleo,Mercadinho São Luiz
oleo,PIMENTA BRANCA ISHASHI EM PÓ 40G,8.2,8.2,0.0,False,355,13799,7896244830137,5,pimenta-branca-ishashi-40g,https://mercadinhossaoluiz.com.br/produto/pimenta-branca-ishashi-40g,oleo,Mercadinho São Luiz
oleo,CURRY ISHASHI 30G,6.73,6.73,0.0,False,355,13799,7896244830182,31,curry-ishashi-30g,https://mercadinhossaoluiz.com.br/produto/curry-ishashi-30g,oleo,Mercadinho São Luiz
oleo,PIMENTA DO REINO ISHASHI EM PÓ 40G,8.58,8.58,0.0,False,355,13799,7896244830090,29,pimenta-do-reino-ishashi-em-po-40g,https://mercadinhossaoluiz.com.br/produto/pimenta-do-reino-ishashi-em-po-40g,oleo,Mercadinho São Luiz
oleo,PIMENTA DO REINO ISHASHI EM GRÃO 40G,7.99,7.99,0.0,False,355,13799,7896244830144,22,pimenta-ishashi-grao-40g,https://mercadinhossaoluiz.com.br/produto/pimenta-ishashi-grao-40g,oleo,Mercadinho São Luiz
oleo,ORÉGANO ISHASHI 10G,6.09,6.09,0.0,False,355,13799,7896244830076,46,oregano-ishashi-10g,https://mercadinhossaoluiz.com.br/produto/oregano-ishashi-10g,oleo,Mercadinho São Luiz
